Gene,SA3170,SA3173,SA3309,SA3326,SA3331,SA3336,SA3174,SA3195,SA3198,SA3318,SA3337,SA3338,,baseMean,log2FoldChange (LUAD/AdenomaG),lfcSE,pvalue,padj,ENTREZ_ID,Gene_name
Specc1l,10.44517525,10.87477422,11.2125998,10.9685548,11.0001353,10.64794107,11.06104107,10.51012544,10.91615676,10.99357365,9.824132131,10.65351333,,1782.082469,-0.121808105,0.192475996,0.448120177,0.67199736,74392,sperm antigen with calponin homology and coiled-coil domains 1-like
Speer4c,2.186609218,5.007776352,0.934150337,0.644374251,3.609536392,#NUM!,#NUM!,4.078279652,0.196767938,6.19534012,3.332279035,3.143738326,,13.55277248,0.10204223,0.384861664,0.370230593,0.603693725,100502967,spermatogenesis associated glutamate (E)-rich protein 4C
Spef1,8.305550291,9.259151167,8.675617324,8.39591831,8.96238906,8.678564302,8.459487019,9.361213616,8.420769613,9.093719216,9.08419497,7.787594516,,437.1586011,0.028947671,0.223723194,0.876237169,0.944321043,70997,sperm flagellar 1
Spef2,2.508537313,7.071906689,2.741505259,3.814299252,6.585288846,2.151087296,2.958502911,4.078279652,4.196767939,7.474199493,5.249816875,3.465666421,,44.28017152,0.00691281,0.35538872,0.963511281,0.984714843,320277,sperm flagellar 2
Speg,6.629552714,6.728253823,6.922835024,6.666742064,6.790108638,10.27132517,6.751060831,7.300672074,6.029657953,6.928056241,6.27087849,6.188132445,,198.0942703,-0.881597956,0.809938325,NA,NA,11790,SPEG complex locus
Spen,10.01315771,9.99128823,10.83652545,10.91816985,10.48236515,10.30969698,11.5977144,10.26150148,11.16255222,11.15363694,10.42562323,10.51333567,,1687.399436,0.339303618,0.24959679,0.083922421,0.235407089,56381,spen family transcription repressor
Spg11,8.764038046,8.944949515,9.37294219,9.424093606,9.34108171,8.889179555,9.890928598,9.213048208,9.26016302,9.677732887,8.605297529,9.140917807,,610.7802327,0.15775492,0.200279394,0.356410315,0.590789226,214585,"SPG11, spatacsin vesicle trafficking associated"
Spg20,9.263424815,9.255703866,9.515350919,9.573632659,9.500307322,9.370255816,8.830628088,8.493317152,9.082464312,9.491581571,8.550371319,9.835481845,,622.6564722,-0.216032225,0.211569291,0.222980383,0.445341226,229285,"spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)"
Spg21,11.40335508,11.77896567,11.77532153,11.11655737,11.78479484,10.87900775,10.96653128,10.99555227,11.02728315,10.6509091,10.55681673,10.45888789,,2334.294968,-0.633770297,0.199154252,0.00035619,0.003954931,27965,"SPG21, maspardin"
Spg7,9.860801486,9.646376817,9.722052897,10.06328098,9.688487733,9.890867905,10.35082033,9.902708088,9.792957695,10.01326428,9.922242217,10.57314507,,1008.136278,0.264001783,0.154191346,0.061105652,0.189092514,234847,"SPG7, paraplegin matrix AAA peptidase subunit"
Sphk1,8.666389482,7.910288507,7.68903784,8.68876837,7.774108159,8.682468756,7.577412743,9.137173341,8.792957695,8.443267633,7.709248493,7.544617762,,319.7748464,0.02063362,0.252186786,0.916013236,0.963614453,20698,sphingosine kinase 1
Sphk2,10.56056187,10.03718908,10.14725456,10.22839719,9.988048015,10.28422951,10.1053443,9.610180909,10.11860888,9.257624398,10.01410308,10.8554053,,1137.575831,-0.10096295,0.208009878,0.56355429,0.761212669,56632,sphingosine kinase 2
Spi1,8.883576744,9.925555264,10.09528222,9.51165299,9.682785374,9.254375104,9.251810328,9.272051396,8.804098253,8.956500219,8.56323347,8.671215332,,638.2386394,-0.574504038,0.226558575,0.002989818,0.020918604,20375,spleen focus forming virus (SFFV) proviral integration oncogene
Spib,5.99396414,7.467207971,6.728566203,7.136227347,6.360857279,5.009068291,5.879068443,5.125585367,4.951655441,7.073661563,5.777063878,5.429140545,,79.92784655,-0.390663935,0.402598418,0.09823134,0.261562166,272382,Spi-B transcription factor (Spi-1/PU.1 related)
