k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
86	2	39	0.19012852	0.18710115	AA	0.035573264739798	0	0.19104093	0.17347666	AA	0.0331411424596938	0	ct2VSct3	0.0024321222801042	0.0024321222801042	0
87	2	40	0.19012852	0.18804056	AA	0.0357518733727712	0	0.19104093	0.17695382	AA	0.0338054223398526	0	ct2VSct3	0.0019464510329186	0.0019464510329186	0
88	2	41	0.19012852	0.18964921	AA	0.0360577236164692	0	0.19104093	0.17829669	AA	0.0340619654735217	0	ct2VSct3	0.0019957581429475	0.0019957581429475	0
89	2	42	0.19012852	0.15865292	AA	0.0301644448732784	0	0.19104093	0.14756948	AA	0.0281918106988164	0	ct2VSct3	0.001972634174462	0.001972634174462	0
90	2	43	0.19012852	-0.1823701	AB	0	0	0.19104093	-0.16357241	AB	0	0	ct2VSct3	-0.0034247318765107	0	0
91	2	44	0.19012852	-0.17777604	AB	0	0	0.19104093	-0.17446408	AB	0	0	ct2VSct3	-0.000470515281866403	0	0
92	2	45	0.19012852	0.088799464	AA	0.0168833106671133	0	0.19104093	0.066227762	AA	0.0126522132442987	0	ct2VSct3	0.00423109742281462	0.0042310974228146	0
93	2	46	0.19012852	-0.083378426	AB	0	0	0.19104093	-0.032986415	AB	0	0	ct2VSct3	-0.00955086133634357	0	0
94	2	47	0.19012852	0.15723078	AA	0.0298940554998456	0	0.19104093	0.17300806	AA	0.0330516206798958	0	ct2VSct3	-0.0031575651800502	-0.0031575651800502	0
95	2	48	0.19012852	0.14162452	AA	0.0269268603833104	0	0.19104093	0.15073365	AA	0.0287962966782945	0	ct2VSct3	-0.0018694362949841	-0.0018694362949841	0
96	2	49	0.19012852	0.047735823	AA	0.00907594137797196	0	0.19104093	0.083039757	AA	0.015863992404254	0	ct2VSct3	-0.00678805102628205	-0.00678805102628204	0
97	2	50	0.19012852	0.0022084846	AA	0.000419895908440792	0	0.19104093	0.088158697	AA	0.0168419194624682	0	ct2VSct3	-0.0164220235540274	-0.0164220235540274	0
98	3	4	0.14061381	-0.18161297	AB	0	0	0.1009407	-0.16271872	AB	0	0	ct2VSct3	-0.0091123501572117	0	0
99	3	5	0.14061381	-0.18328273	AB	0	0	0.1009407	-0.15626544	AB	0	0	ct2VSct3	-0.0099985400730933	0	0
100	3	6	0.14061381	0.042068575	AA	0.00591542261202075	0	0.1009407	0.077304897	AA	0.0078032104166079	0	ct2VSct3	-0.00188778780458715	-0.00188778780458715	0
101	3	7	0.14061381	-0.00098194839	AB	0	0	0.1009407	0.051912599	AA	0.0052400940818793	0	ct2VSct3	-0.00537816958622057	-0.0052400940818793	0
102	3	8	0.14061381	-0.044405686	AB	0	0	0.1009407	0.009518961	AA	0.0009608505866127	0	ct2VSct3	-0.00720490328073636	-0.0009608505866127	0
103	3	9	0.14061381	-0.17344142	AB	0	0	0.1009407	-0.15743553	AB	0	0	ct2VSct3	-0.0084966062749392	0	0
104	3	10	0.14061381	-0.19903151	AB	0	0	0.1009407	-0.19242186	AB	0	0	ct2VSct3	-0.0085633816874511	0	0
105	3	11	0.14061381	-0.1973125	AB	0	0	0.1009407	-0.19638166	AB	0	0	ct2VSct3	-0.007921960158063	0	0
106	3	12	0.14061381	-0.15190249	AB	0	0	0.1009407	-0.16028141	AB	0	0	ct2VSct3	-0.0051806701449999	0	0
107	3	13	0.14061381	-0.087703852	AB	0	0	0.1009407	-0.11455982	AB	0	0	ct2VSct3	-0.00076862435872212	0	0
108	3	14	0.14061381	-0.1880073	AB	0	0	0.1009407	-0.19694965	AB	0	0	ct2VSct3	-0.006556187225058	0	0
109	3	15	0.14061381	-0.20745743	AB	0	0	0.1009407	-0.20676996	AB	0	0	ct2VSct3	-0.0082998751437363	0	0
110	3	16	0.14061381	-0.17437581	AB	0	0	0.1009407	-0.19555677	AB	0	0	ct2VSct3	-0.0047800097623971	0	0
111	3	17	0.14061381	-0.14796277	AB	0	0	0.1009407	-0.19100095	AB	0	0	ct2VSct3	-0.0015258392341887	0	0
112	3	18	0.14061381	-0.16760507	AB	0	0	0.1009407	-0.18987862	AB	0	0	ct2VSct3	-0.0044011066501827	0	0
113	3	19	0.14061381	-0.14024768	AB	0	0	0.1009407	-0.15944314	AB	0	0	ct2VSct3	-0.0036264584666628	0	0
114	3	20	0.14061381	0.054948016	AA	0.00772644988170096	0	0.1009407	0.054914255	AA	0.0055430833396785	0	ct2VSct3	0.00218336654202246	0.00218336654202246	0
115	3	21	0.14061381	-0.0074197618	AB	0	0	0.1009407	-0.01455958	AB	0	0	ct2VSct3	0.000426333220915542	0	0
116	3	22	0.14061381	-0.15307954	AB	0	0	0.1009407	-0.15076104	AB	0	0	ct2VSct3	-0.0063071724421194	0	0
117	3	23	0.14061381	-0.094298444	AB	0	0	0.1009407	-0.014486541	AB	0	0	ct2VSct3	-0.0117973818987929	0	0
118	3	24	0.14061381	-0.15181406	AB	0	0	0.1009407	-0.15360689	AB	0	0	ct2VSct3	-0.0058419663867456	0	0
119	3	25	0.14061381	-0.14685121	AB	0	0	0.1009407	-0.17528898	AB	0	0	ct2VSct3	-0.0029555157977241	0	0
120	3	26	0.14061381	0.022230333	AA	0.00312589182069873	0	0.1009407	0.034817162	AA	0.0035144687042934	0	ct2VSct3	-0.00038857688359467	-0.00038857688359467	0
121	3	27	0.14061381	-0.1369298	AB	0	0	0.1009407	-0.13150274	AB	0	0	ct2VSct3	-0.00598024225302	0	0
122	3	28	0.14061381	-0.19271408	AB	0	0	0.1009407	-0.19158984	AB	0	0	ct2VSct3	-0.0077590484669568	0	0
123	3	29	0.14061381	-0.072474398	AB	0	0	0.1009407	-0.12514643	AB	0	0	ct2VSct3	0.00244146701646462	0	0
124	3	30	0.14061381	-0.19092902	AB	0	0	0.1009407	-0.18395331	AB	0	0	ct2VSct3	-0.0082788810630492	0	0
125	3	31	0.14061381	-0.061939482	AB	0	0	0.1009407	-0.079477947	AB	0	0	ct2VSct3	-0.000686986948703521	0	0
126	3	32	0.14061381	0.093314979	AA	0.01312137472726	0	0.1009407	0.11143501	AA	0.011248327913907	0	ct2VSct3	0.00187304681335299	0.001873046813353	0
127	3	33	0.14061381	-0.11083278	AB	0	0	0.1009407	-0.083578057	AB	0	0	ct2VSct3	-0.0071481918904719	0	0
128	3	34	0.14061381	-0.17001925	AB	0	0	0.1009407	-0.14780161	AB	0	0	ct2VSct3	-0.0089878565413155	0	0
129	3	35	0.14061381	0.0060066249	AA	0.000844614412429869	0	0.1009407	0.046479583	AA	0.0046916816437281	0	ct2VSct3	-0.00384706723129823	-0.00384706723129823	0
130	3	36	0.14061381	-0.02883865	AB	0	0	0.1009407	-0.059539951	AB	0	0	ct2VSct3	0.0019548918801492	0	0
131	3	37	0.14061381	0.1362983	AA	0.019165423259523	0	0.1009407	0.13002355	AA	0.013124668153485	0	ct2VSct3	0.006040755106038	0.006040755106038	0
132	3	38	0.14061381	-0.11748793	AB	0	0	0.1009407	-0.090405284	AB	0	0	ct2VSct3	-0.0073948528156545	0	0
133	3	39	0.14061381	0.18710115	AA	0.0263090055568815	0	0.1009407	0.17347666	AA	0.017510855494062	0	ct2VSct3	0.0087981500628195	0.0087981500628195	0
134	3	40	0.14061381	0.18804056	AA	0.0264410995761336	0	0.1009407	0.17695382	AA	0.017861842458474	0	ct2VSct3	0.0085792571176596	0.0085792571176596	0
135	3	41	0.14061381	0.18964921	AA	0.0266672979815901	0	0.1009407	0.17829669	AA	0.017997392696283	0	ct2VSct3	0.0086699052853071	0.0086699052853071	0
136	3	42	0.14061381	0.15865292	AA	0.0223087915488252	0	0.1009407	0.14756948	AA	0.014895766609836	0	ct2VSct3	0.0074130249389892	0.0074130249389892	0
