k	i	j	iscore_ct1	jscore_ct1	AB_ct1	A0score_ct1	B0score_ct1	iscore_ct2	jscore_ct2	AB_ct2	A0score_ct2	B0score_ct2	CellTypeID	ABchange	A0change	B0change
51	2	4	0.19012852	-0.18161297	AB	0	0	0.21577221	-0.16747195	AB	0	0	ct2VSct5	0.00160598756560509	0	0
52	2	5	0.19012852	-0.18328273	AB	0	0	0.21577221	-0.14763435	AB	0	0	ct2VSct5	-0.00299188422504611	0	0
53	2	6	0.19012852	0.042068575	AA	0.007998435903259	0	0.21577221	0.12247223	AA	0.0264261037307283	0	ct2VSct5	-0.0184276678274693	-0.0184276678274693	0
54	2	7	0.19012852	-0.00098194839	AB	0	0	0.21577221	0.0989969	AA	0.021360779896149	0	ct2VSct5	-0.0215474762902561	-0.021360779896149	0
55	2	8	0.19012852	-0.044405686	AB	0	0	0.21577221	0.0099884727	AA	0.00215523482900367	0	ct2VSct5	-0.0105980221877684	-0.00215523482900367	0
56	2	9	0.19012852	-0.17344142	AB	0	0	0.21577221	-0.1274323	AB	0	0	ct2VSct5	-0.0054798114949154	0	0
57	2	10	0.19012852	-0.19903151	AB	0	0	0.21577221	-0.18691438	AB	0	0	ct2VSct5	0.0024893624237146	0	0
58	2	11	0.19012852	-0.1973125	AB	0	0	0.21577221	-0.16241039	AB	0	0	ct2VSct5	-0.00247108482523811	0	0
59	2	12	0.19012852	-0.15190249	AB	0	0	0.21577221	0.017687445	AA	0.00381645909690345	0	ct2VSct5	-0.0326974547049182	-0.00381645909690345	0
60	2	13	0.19012852	-0.087703852	AB	0	0	0.21577221	0.09036246	AA	0.0194977076952366	0	ct2VSct5	-0.0361727112742956	-0.0194977076952366	0
61	2	14	0.19012852	-0.1880073	AB	0	0	0.21577221	-0.19910875	AB	0	0	ct2VSct5	0.0072165853196415	0	0
62	2	15	0.19012852	-0.20745743	AB	0	0	0.21577221	-0.22389707	AB	0	0	ct2VSct5	0.0088671914775211	0	0
63	2	16	0.19012852	-0.17437581	AB	0	0	0.21577221	-0.10668783	AB	0	0	ct2VSct5	-0.0101335458198969	0	0
64	2	17	0.19012852	-0.14796277	AB	0	0	0.21577221	-0.16114704	AB	0	0	ct2VSct5	0.006639110480558	0	0
65	2	18	0.19012852	-0.16760507	AB	0	0	0.21577221	-0.12908324	AB	0	0	ct2VSct5	-0.004013927934836	0	0
66	2	19	0.19012852	-0.14024768	AB	0	0	0.21577221	-0.082187458	AB	0	0	ct2VSct5	-0.00893131438489142	0	0
