"","x"
"888","Ano10"
"889","Ano6"
"890","Anp32a"
"891","Anp32b"
"892","Anp32b-ps1"
"893","Anp32e"
"894","Anpep"
"895","Antxr2"
"896","Anxa1"
"897","Anxa2"
"898","Anxa3"
"899","Anxa4"
"900","Anxa5"
"901","Anxa6"
"902","Anxa7"
"903","Anxa9"
"904","Aoah"
"905","Aoc2"
"906","Ap1ar"
"907","Ap1b1"
"908","Ap1g1"
"909","Ap1g2"
"910","Ap1m1"
"911","Ap1s1"
"912","Ap1s2"
"913","Ap1s3"
"914","Ap2a1"
"915","Ap2a2"
"916","Ap2b1"
"917","Ap2m1"
"918","Ap2s1"
"919","Ap3b1"
"920","Ap3d1"
"921","Ap3m1"
"922","Ap3m2"
"923","Ap3s1"
"924","Ap3s2"
"925","Ap4b1"
"926","Ap4e1"
"927","Ap4m1"
"928","Ap4s1"
"929","Ap5b1"
"930","Ap5m1"
"931","Ap5s1"
"932","Ap5z1"
"933","Apaf1"
"934","Apba3"
"935","Apbb1"
"936","Apbb1ip"
"937","Apc"
"938","Apcs"
"939","Apeh"
"940","Apex1"
"941","Apex2"
"942","Aph1a"
"943","Aph1b"
"944","Aph1c"
"945","Api5"
"946","Apip"
"947","Apitd1"
"948","Aplf"
"949","Aplp2"
"950","Apmap"
"951","Apoa1"
"952","Apoa1bp"
"953","Apoa2"
"954","Apob"
"955","Apobec1"
"956","Apobec2"
"957","Apobec3"
"958","Apobr"
"959","Apoc1"
"960","Apoc3"
"961","Apoc4"
"962","Apoe"
"963","Apof"
"964","Apoh"
"965","Apol8"
"966","Apold1"
"967","Apom"
"968","Apoo"
"969","Apoo-ps"
"970","Apool"
"971","Apopt1"
"972","App"
"973","Appbp2"
"974","Appbp2os"
"975","Appl1"
"976","Appl2"
"977","Aprt"
"978","Aptx"
"979","Aqp1"
"980","Aqp11"
"981","Aqp3"
"982","Aqp8"
"983","Aqp9"
"984","Aqr"
"985","Araf"
"986","Arap1"
"987","Arap3"
"988","Arcn1"
"989","Arel1"
"990","Arf1"
"991","Arf2"
"992","Arf3"
"993","Arf4"
"994","Arf4os"
"995","Arf5"
"996","Arf6"
"997","Arfgap1"
"998","Arfgap2"
"999","Arfgap3"
"1000","Arfgef1"
"1001","Arfgef2"
"1002","Arfip1"
"1003","Arfip2"
"1004","Arfrp1"
"1005","Arg1"
"1006","Arglu1"
"1007","Arhgap1"
"1008","Arhgap10"
"1009","Arhgap11a"
"1010","Arhgap12"
"1011","Arhgap15"
"1012","Arhgap17"
"1013","Arhgap18"
"1014","Arhgap19"
"1015","Arhgap21"
"1016","Arhgap23"
"1017","Arhgap24"
"1018","Arhgap25"
"1019","Arhgap26"
"1020","Arhgap27"
"1021","Arhgap27os2"
"1022","Arhgap30"
"1023","Arhgap33"
"1024","Arhgap39"
"1025","Arhgap4"
"1026","Arhgap45"
"1027","Arhgap5"
"1028","Arhgap6"
"1029","Arhgap9"
"1030","Arhgdia"
"1031","Arhgdib"
"1032","Arhgdig"
"1033","Arhgef1"
"1034","Arhgef10l"
"1035","Arhgef12"
"1036","Arhgef18"
"1037","Arhgef2"
"1038","Arhgef25"
"1039","Arhgef3"
"1040","Arhgef39"
"1041","Arhgef4"
"1042","Arhgef40"
"1043","Arhgef6"
"1044","Arhgef7"
"1045","Arid1a"
"1046","Arid1b"
"1047","Arid2"
"1048","Arid3a"
"1049","Arid3b"
"1050","Arid4a"
"1051","Arid4b"
"1052","Arid5a"
"1053","Arid5b"
"1054","Arih1"
"1055","Arih2"
"1056","Arl1"
"1057","Arl10"
"1058","Arl11"
"1059","Arl13b"
"1060","Arl14ep"
"1061","Arl15"
"1062","Arl16"
"1063","Arl2"
"1064","Arl2bp"
"1065","Arl3"
"1066","Arl4a"
"1067","Arl4c"
"1068","Arl4d"
"1069","Arl5a"
"1070","Arl5b"
"1071","Arl5c"
"1072","Arl6"
"1073","Arl6ip1"
"1074","Arl6ip4"
"1075","Arl6ip5"
"1076","Arl6ip6"
"1077","Arl8a"
"1078","Arl8b"
"1079","Armc1"
"1080","Armc10"
"1081","Armc3"
"1082","Armc5"
"1083","Armc6"
"1084","Armc7"
"1085","Armc8"
"1086","Armc9"
"1087","Armcx1"
"1088","Armcx2"
"1089","Armcx3"
"1090","Armcx5"
"1091","Armcx6"
"1092","Armt1"
"1093","Arnt"
"1094","Arntl"
"1095","Arpc1a"
"1096","Arpc1b"
"1097","Arpc2"
"1098","Arpc3"
"1099","Arpc4"
"1100","Arpc5"
"1101","Arpc5l"
"1102","Arpp19"
"1103","Arrb1"
"1104","Arrb2"
"1105","Arrdc1"
"1106","Arrdc2"
"1107","Arrdc3"
"1108","Arrdc4"
"1109","Arsa"
"1110","Arsb"
"1111","Arsg"
"1112","Arsk"
"1113","Art3"
"1114","Art4"
"1115","Arv1"
"1116","Arvcf"
"1117","Arxes1"
"1118","Arxes2"
"1119","As3mt"
"1120","Asah1"
"1121","Asap1"
"1122","Asap2"
"1123","Asb1"
"1124","Asb13"
"1125","Asb16"
"1126","Asb17"
"1127","Asb17os"
"1128","Asb2"
"1129","Asb3"
"1130","Asb6"
"1131","Asb7"
"1132","Asb8"
"1133","Ascc1"
"1134","Ascc2"
"1135","Ascc3"
"1136","Ascl2"
"1137","Asf1a"
"1138","Asf1b"
"1139","Asgr1"
"1140","Asgr2"
"1141","Ash1l"
"1142","Ash2l"
"1143","Asl"
"1144","Asna1"
"1145","Asns"
"1146","Asnsd1"
"1147","Aspa"
"1148","Aspdh"
"1149","Asph"
"1150","Aspm"
"1151","Asprv1"
"1152","Aspscr1"
"1153","Asrgl1"
"1154","Ass1"
"1155","Aste1"
"1156","Asxl1"
"1157","Asxl2"
"1158","Atad1"
"1159","Atad2"
"1160","Atad2b"
"1161","Atad3a"
"1162","Atad3aos"
"1163","Atad5"
"1164","Atat1"
"1165","Ate1"
"1166","Atf1"
"1167","Atf2"
"1168","Atf3"
"1169","Atf4"
"1170","Atf5"
"1171","Atf6"
"1172","Atf6b"
"1173","Atf7"
"1174","Atf7ip"
"1175","Atg10"
"1176","Atg101"
"1177","Atg12"
"1178","Atg13"
"1179","Atg14"
"1180","Atg16l1"
"1181","Atg16l2"
"1182","Atg2a"
"1183","Atg2b"
"1184","Atg3"
"1185","Atg4a"
"1186","Atg4b"
"1187","Atg4c"
"1188","Atg4d"
"1189","Atg5"
"1190","Atg7"
"1191","Atg9b"
"1192","Atic"
"1193","Atl1"
"1194","Atl2"
"1195","Atl3"
"1196","Atm"
"1197","Atmin"
"1198","Atn1"
"1199","Atox1"
"1200","Atp10a"
"1201","Atp10d"
"1202","Atp11b"
